ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,tanimp,relimp,resimp,asrimp,empimp,oq,rec,use,prob,resolve,sex,mstat,age,inc,ed,reliavrg,empavrg,tangavrg,respavrg,assuravg
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,25,20,15,9,Yes,2 to 5 years,No,NA,Male,Married,25-44,$30K-$49.9K,Graduate School,NA,NA,7,6.5,7
13,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Disagree,Agree Slightly,Agree Slightly,Agree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree Slightly,10,30,20,20,20,NA,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,5.6,4.4,5.5,4.75,5
14,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,60,10,10,10,9,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$20K - $29.9 K,High School or Less,6.4,6.8,7,6.75,7
15,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,NA,NA,Agree,NA,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,10,25,25,20,20,5,Yes,2 to 5 years,Yes,Yes,Male,Married,25-44,$20K - $29.9 K,Some College,4,4.2,6,4.75,4.5
16,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree Slightly,NA,NA,Neither Agree Nor Disagree,NA,NA,NA,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,10,30,20,30,10,NA,Yes,5 or more years,No,NA,Female,Single,< 25,< $10K,High School or Less,7,3.5,7,NA,NA
17,Agree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree,Disagree,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree,Disagree,Disagree,Disagree Slightly,Disagree Slightly,5,60,10,20,5,6,Yes,5 or more years,Yes,No,Female,Divorced,65+,$50K-$64.9,College Graduate,4.8,3.8,2.5,2.75,2.5
18,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Disagree,Agree Slightly,Disagree,Disagree,Agree Slightly,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree Slightly,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,10,20,50,10,10,5,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,Some College,4.8,3.2,5.75,3.25,2.5
19,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,8,40,18,16,18,9,Yes,2 to 5 years,Yes,Yes,Male,Married,25-44,$30K-$49.9K,Some College,6,5.8,5.75,6,5.75
20,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,35,35,10,10,10,Yes,Less than 1 year,No,NA,Female,Widowed,45-64,< $10K,High School or Less,6.8,7,7,7,7
21,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,5,40,20,20,15,10,Yes,Less than 1 year,Yes,Yes,Male,Married,25-44,$20K - $29.9 K,Some College,6.2,6.4,6.5,6.25,6.5
22,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,15,20,20,25,20,10,Yes,5 or more years,No,NA,Female,Married,25-44,< $10K,High School or Less,7,6.4,6.5,7,7
23,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,0,60,20,10,10,9,Yes,5 or more years,No,NA,Male,Divorced,65+,$50K-$64.9,College Graduate,5.4,6.6,6.25,6.75,6.75
24,Agree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,10,10,30,30,20,5,No,1 to 2 years,Yes,Yes,Female,Single,< 25,$30K-$49.9K,High School or Less,4.2,4.6,5.25,4,4.5
25,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree Slightly,Disagree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,15,15,35,10,25,10,Yes,1 to 2 years,No,NA,Female,Married,25-44,$10K-$19.9 K,Some College,6,6.8,5,6.75,6
26,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,30,20,10,10,Yes,5 or more years,No,NA,Male,Married,25-44,< $10K,High School or Less,7,7,7,7,7
27,Agree,Agree,Agree,Agree,Agree,Agree,NA,Agree,NA,Agree,NA,NA,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,NA,Agree,Agree,NA,Agree,5,25,25,25,20,8,Yes,5 or more years,No,NA,Male,Married,25-44,$20K - $29.9 K,Some College,6,6,5,6,6
28,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,20,30,20,20,10,8,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,High School or Less,5.8,6.4,6.25,7,6
29,Agree,Strongly Agree,Disagree Slightly,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Strongly Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,40,20,15,15,9,Yes,5 or more years,Yes,Yes,Male,Married,25-44,$30K-$49.9K,Graduate School,5.2,6.2,4.75,7,7
30,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Strongly Agree,Agree,Agree Slightly,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,10,50,10,20,9,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,4.6,5.4,6.5,6.5,7
31,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree Slightly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree Slightly,Strongly Disagree,10,50,25,5,10,1,No,5 or more years,Yes,No,Female,Married,25-44,$30K-$49.9K,Some College,1,1.8,5,1,2
32,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Disagree Slightly,Strongly Disagree,Disagree Slightly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,20,20,20,20,20,3,No,5 or more years,Yes,No,Female,Married,25-44,$20K - $29.9 K,High School or Less,1,4,4.25,2.5,1.75
33,Agree,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree Slightly,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,8,Yes,2 to 5 years,No,NA,NA,NA,NA,NA,NA,5.8,6.6,6,6.25,6.5
34,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,5,50,10,25,10,6,NA,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,College Graduate,4.2,4,4,4.25,4.75
35,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,10,30,20,30,10,8,Yes,2 to 5 years,No,NA,Female,Married,25-44,$20K - $29.9 K,High School or Less,6.8,6.2,5.75,7,6.5
36,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree Slightly,Agree,Strongly Agree,Agree Slightly,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Strongly Agree,Agree,NA,NA,NA,NA,NA,8,Yes,5 or more years,No,NA,Male,Married,25-44,$50K-$64.9,Graduate School,5.8,6.2,5.75,6,6
37,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,10,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,Some College,6.6,6.8,6,7,7
38,Agree Slightly,Agree,Disagree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Agree,Agree Slightly,Agree Slightly,Agree,Agree,10,20,20,10,40,7,Yes,5 or more years,Yes,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,4.8,5.4,5.25,5.75,5.5
39,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,2 to 5 years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,7,7,7,7,7
40,Strongly Agree,Strongly Agree,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree Slightly,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,2,75,10,8,5,10,Yes,5 or more years,No,NA,Female,Single,< 25,>$65K,Some College,6.4,6.2,5.75,7,6.75
41,Neither Agree Nor Disagree,Agree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Disagree,Agree,Agree Slightly,Disagree Slightly,Disagree,Disagree Slightly,Agree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Strongly Agree,Agree,Agree,5,65,15,10,5,7,Yes,5 or more years,No,NA,Male,Single,< 25,< $10K,High School or Less,4.2,4,4,4.25,6
42,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,20,20,20,30,10,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,6.4,7,6,7,7
43,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,9,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,7,6.8,6.25,7,6.75
44,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,Yes,5 or more years,NA,Yes,Male,Married,25-44,$10K-$19.9 K,High School or Less,7,7,7,7,7
45,Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Disagree,Disagree Slightly,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree Slightly,10,30,20,20,20,8,Yes,5 or more years,Yes,Yes,Male,Married,25-44,>$65K,Some College,5.2,3.2,6,3.75,4.75
46,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree Slightly,Agree Slightly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50,30,10,5,NA,NA,NA,NA,NA,Male,Divorced,65+,$20K - $29.9 K,Some College,6,6.4,5,NA,NA
47,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,10,25,15,25,25,NA,Yes,1 to 2 years,No,NA,Male,Married,25-44,$30K-$49.9K,High School or Less,6.4,6.4,6,6.75,6.25
48,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,20,20,20,20,20,10,NA,5 or more years,NA,NA,Male,Married,25-44,$30K-$49.9K,Graduate School,7,7,7,7,7
49,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,5,50,15,15,15,6,Yes,5 or more years,No,NA,Female,Divorced,65+,$30K-$49.9K,Some College,4.8,4.8,4.5,5,5
50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,Agree,NA,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,9,Yes,1 to 2 years,No,NA,Female,Married,25-44,$30K-$49.9K,Some College,7,7,6,6,7
51,Neither Agree Nor Disagree,Agree,Disagree Slightly,Agree Slightly,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,10,30,40,10,10,7,Yes,2 to 5 years,No,NA,Male,Single,< 25,$20K - $29.9 K,Some College,4.4,5.2,5.25,6.25,5.5
52,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,15,25,20,25,15,9,Yes,5 or more years,No,NA,Female,Married,25-44,$50K-$64.9,High School or Less,6.4,7,6.75,6.5,6.75
53,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,NA,NA,NA,NA,NA,9,Yes,5 or more years,NA,NA,Male,Married,25-44,$50K-$64.9,Some College,6.4,6,6.25,7,6.75
54,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Disagree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,50,25,5,10,10,6,Yes,1 to 2 years,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,4.2,4.6,4.75,4,4.5
55,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree Slightly,Strongly Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,50,10,30,5,9,Yes,1 to 2 years,No,NA,Female,Married,25-44,$30K-$49.9K,College Graduate,7,5.8,6,7,7
56,Agree Slightly,Agree Slightly,Strongly Agree,Agree Slightly,Agree Slightly,Strongly Agree,Agree,Strongly Agree,Agree Slightly,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree,Agree,Agree,Agree,10,30,20,20,20,8,Yes,Less than 1 year,No,NA,Female,Married,25-44,$50K-$64.9,College Graduate,5.4,6.2,4.5,5.25,6
57,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,15,25,20,20,20,10,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,College Graduate,7,7,7,7,7
58,Strongly Disagree,Disagree,Agree Slightly,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Agree Slightly,Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree Slightly,Agree,10,40,20,10,20,3,No,Less than 1 year,Yes,No,Male,Married,25-44,$50K-$64.9,Graduate School,2.6,2.2,5,1.25,3.5
